time,frequency,confidence
0.000,32.332,0.044513
0.010,36.388,0.038036
0.020,37.151,0.049716
0.030,36.939,0.130205
0.040,73.526,0.175446
0.050,43.703,0.095038
0.060,32.912,0.054235
0.070,123.627,0.069621
0.080,871.566,0.111630
0.090,34.498,0.311863
0.100,34.539,0.311101
0.110,34.761,0.235588
0.120,33.070,0.166168
0.130,32.924,0.294817
0.140,32.940,0.045447
0.150,46.794,0.058965
0.160,33.495,0.065105
0.170,33.127,0.171389
0.180,32.895,0.335329
0.190,33.013,0.236742
0.200,33.828,0.087558
0.210,36.665,0.129121
0.220,36.176,0.223122
0.230,36.310,0.205816
0.240,36.776,0.080903
0.250,33.867,0.051285
0.260,33.043,0.142580
0.270,41.843,0.049175
0.280,1415.259,0.086415
0.290,1411.538,0.127670
0.300,33.123,0.274436
0.310,33.178,0.146633
0.320,37.248,0.116126
0.330,37.859,0.261135
0.340,41.322,0.317709
0.350,46.289,0.122790
0.360,1407.089,0.157594
0.370,33.198,0.052586
0.380,1405.808,0.040762
0.390,43.063,0.110476
0.400,42.591,0.268954
0.410,43.088,0.309298
0.420,43.013,0.379082
0.430,42.881,0.140981
0.440,42.378,0.209595
0.450,42.251,0.144771
0.460,1413.223,0.178272
0.470,1419.624,0.097739
0.480,55.282,0.041940
0.490,54.346,0.090675
0.500,1430.210,0.078383
0.510,35.585,0.074400
0.520,42.127,0.191972
0.530,39.137,0.188545
0.540,41.828,0.323383
0.550,37.834,0.217862
0.560,38.518,0.253116
0.570,43.692,0.178484
0.580,37.637,0.470372
0.590,37.682,0.237288
0.600,33.211,0.149343
0.610,38.869,0.156736
0.620,33.973,0.226984
0.630,33.804,0.339620
0.640,33.437,0.308722
0.650,32.975,0.143680
0.660,32.902,0.150564
0.670,43.899,0.221044
0.680,38.546,0.144904
0.690,32.901,0.380822
0.700,38.236,0.178642
0.710,43.214,0.321598
0.720,43.167,0.408166
0.730,38.200,0.272001
0.740,34.014,0.082968
0.750,37.163,0.100856
0.760,32.513,0.065809
0.770,37.759,0.101621
0.780,37.416,0.279105
0.790,36.874,0.186664
0.800,40.953,0.250575
0.810,40.926,0.189018
0.820,34.828,0.223699
0.830,35.486,0.314396
0.840,35.611,0.202344
0.850,36.955,0.119130
0.860,37.125,0.395453
0.870,36.820,0.086467
0.880,33.484,0.147307
0.890,32.837,0.122990
0.900,32.569,0.121813
0.910,44.086,0.080382
0.920,44.421,0.202016
0.930,62.373,0.124300
0.940,123.463,0.195596
0.950,123.011,0.227042
0.960,32.228,0.101952
0.970,53.435,0.052207
0.980,53.401,0.041721
0.990,867.859,0.036475
1.000,32.982,0.145916
1.010,37.258,0.091861
1.020,32.857,0.176044
1.030,32.778,0.218057
1.040,63.834,0.241872
1.050,32.826,0.208214
1.060,862.666,0.076824
1.070,866.102,0.099360
1.080,35.901,0.081438
1.090,870.122,0.227217
1.100,871.287,0.359017
1.110,867.503,0.143328
1.120,868.087,0.096054
1.130,870.599,0.229835
1.140,869.124,0.170186
1.150,870.334,0.240681
1.160,868.668,0.136975
1.170,34.895,0.069842
1.180,34.972,0.120350
1.190,34.820,0.204754
1.200,35.783,0.280484
1.210,36.966,0.202709
1.220,870.996,0.210130
1.230,868.562,0.456231
1.240,869.103,0.393875
1.250,866.980,0.339640
1.260,868.855,0.424674
1.270,870.839,0.408516
1.280,869.952,0.328348
1.290,869.851,0.323878
1.300,868.977,0.333280
1.310,869.272,0.472996
1.320,870.532,0.450072
1.330,35.972,0.136382
1.340,216.981,0.137231
1.350,36.433,0.089638
1.360,870.498,0.151273
1.370,874.268,0.480735
1.380,873.502,0.289996
1.390,433.910,0.241944
1.400,870.215,0.261653
1.410,291.080,0.179793
1.420,872.753,0.209351
1.430,871.520,0.269156
1.440,872.783,0.359873
1.450,290.785,0.177580
1.460,43.358,0.205853
1.470,872.211,0.140442
1.480,867.732,0.138487
1.490,866.027,0.163208
1.500,869.924,0.505383
1.510,869.087,0.312254
1.520,871.983,0.416145
1.530,874.646,0.487076
1.540,870.727,0.255408
1.550,867.496,0.077876
1.560,1476.367,0.199784
1.570,1478.809,0.278644
1.580,742.340,0.142619
1.590,1489.895,0.089676
1.600,1483.848,0.248710
1.610,743.174,0.276037
1.620,737.791,0.176288
1.630,1476.951,0.112991
1.640,1478.511,0.104731
1.650,1481.495,0.113795
1.660,45.748,0.073432
1.670,32.896,0.077001
1.680,32.970,0.102077
1.690,33.131,0.172018
1.700,33.097,0.075872
1.710,38.904,0.174269
1.720,37.060,0.188436
1.730,34.474,0.400631
1.740,40.367,0.109593
1.750,36.846,0.112947
1.760,34.874,0.307873
1.770,35.069,0.503711
1.780,36.742,0.222861
1.790,36.915,0.256404
1.800,37.059,0.140232
1.810,41.514,0.235124
1.820,40.890,0.062424
1.830,32.190,0.068613
1.840,123.128,0.066344
1.850,32.516,0.079711
1.860,32.845,0.425152
1.870,33.410,0.238468
1.880,37.185,0.057816
1.890,38.447,0.094420
1.900,54.721,0.032204
1.910,61.636,0.053620
1.920,61.479,0.052275
1.930,869.375,0.069045
1.940,867.467,0.045512
1.950,36.361,0.196123
1.960,36.144,0.291035
1.970,35.331,0.108830
1.980,34.780,0.174365
1.990,34.698,0.125264
2.000,870.787,0.118611
2.010,63.232,0.264530
2.020,32.632,0.233185
2.030,32.859,0.182985
2.040,877.052,0.125156
2.050,329.400,0.117178
2.060,330.613,0.164524
2.070,330.540,0.214341
2.080,292.891,0.187196
2.090,294.745,0.176475
2.100,298.434,0.175211
2.110,296.822,0.123994
2.120,1478.019,0.113353
2.130,41.778,0.125468
2.140,1463.846,0.100530
2.150,36.877,0.377179
2.160,36.357,0.591022
2.170,36.743,0.564860
2.180,37.226,0.541606
2.190,37.571,0.455550
2.200,38.389,0.253962
2.210,45.648,0.222768
2.220,46.051,0.253595
2.230,42.010,0.162552
2.240,46.455,0.220901
2.250,40.721,0.168000
2.260,34.817,0.099659
2.270,1338.264,0.082672
2.280,39.072,0.077444
2.290,39.760,0.115507
2.300,39.411,0.195659
2.310,37.540,0.321052
2.320,44.169,0.147476
2.330,54.838,0.089329
2.340,54.466,0.299988
2.350,54.199,0.124223
2.360,45.640,0.044521
2.370,33.738,0.106559
2.380,34.505,0.190609
2.390,55.056,0.076426
2.400,54.812,0.203732
2.410,55.186,0.114854
2.420,184.565,0.103132
2.430,185.549,0.098218
2.440,34.672,0.302145
2.450,34.903,0.539944
2.460,36.339,0.092221
2.470,36.731,0.197821
2.480,35.840,0.175425
2.490,34.318,0.484016
2.500,34.786,0.233076
2.510,35.145,0.114059
2.520,35.399,0.255102
2.530,35.271,0.209263
2.540,286.388,0.194322
2.550,867.656,0.123293
2.560,870.746,0.458147
2.570,869.461,0.521170
2.580,869.888,0.386588
2.590,871.490,0.561462
2.600,870.312,0.369254
2.610,868.127,0.353508
2.620,871.645,0.452744
2.630,872.760,0.423307
2.640,871.035,0.538112
2.650,872.272,0.576526
2.660,872.713,0.462288
2.670,872.495,0.637594
2.680,871.678,0.600871
2.690,870.458,0.744255
2.700,869.895,0.638938
2.710,433.261,0.472212
2.720,432.946,0.597829
2.730,432.413,0.494860
2.740,433.817,0.374472
2.750,436.268,0.239714
2.760,432.925,0.239539
2.770,433.781,0.160030
2.780,870.742,0.087335
2.790,867.882,0.060349
2.800,868.462,0.103087
2.810,874.647,0.191846
2.820,876.351,0.093239
2.830,877.693,0.077361
2.840,40.056,0.139722
2.850,37.932,0.129207
2.860,33.133,0.185304
2.870,33.508,0.161504
2.880,878.225,0.187272
2.890,36.322,0.437579
2.900,36.279,0.247490
2.910,876.649,0.112503
2.920,34.732,0.081902
2.930,54.627,0.113248
2.940,32.918,0.090816
2.950,36.456,0.163542
2.960,32.753,0.232498
2.970,32.881,0.375029
2.980,32.939,0.086889
2.990,35.706,0.261628
3.000,35.677,0.602044
3.010,36.320,0.331802
3.020,33.677,0.104577
3.030,33.656,0.251907
3.040,33.535,0.620185
3.050,33.521,0.764743
3.060,33.602,0.550591
3.070,33.738,0.471601
3.080,33.826,0.711626
3.090,33.875,0.133676
3.100,33.716,0.052023
3.110,33.845,0.126495
3.120,34.127,0.048960
3.130,429.281,0.073791
3.140,306.122,0.072079
3.150,301.538,0.106595
3.160,294.097,0.149139
3.170,296.157,0.241068
3.180,302.392,0.414193
3.190,302.804,0.252516
3.200,37.461,0.151989
3.210,297.878,0.075836
3.220,298.262,0.198147
3.230,299.318,0.132002
3.240,37.132,0.098526
3.250,292.260,0.298781
3.260,36.233,0.103837
3.270,34.589,0.065926
3.280,41.236,0.234065
3.290,41.191,0.426170
3.300,41.219,0.091827
3.310,37.259,0.120544
3.320,1456.656,0.049273
3.330,36.777,0.074922
3.340,33.154,0.083243
3.350,75.076,0.138024
3.360,1454.240,0.120168
3.370,1418.040,0.305028
3.380,1445.045,0.392246
3.390,1433.788,0.140797
3.400,34.634,0.309132
3.410,36.585,0.123222
3.420,1425.868,0.313302
3.430,1427.547,0.514895
3.440,1428.016,0.179157
3.450,36.569,0.137228
3.460,294.230,0.131216
3.470,288.014,0.161569
3.480,287.488,0.303922
3.490,289.254,0.418576
3.500,288.985,0.414565
3.510,286.117,0.161639
3.520,1444.824,0.198907
3.530,1442.877,0.131222
3.540,37.691,0.115687
3.550,38.001,0.193150
3.560,34.488,0.261127
3.570,35.680,0.064404
3.580,1425.934,0.405352
3.590,1416.168,0.423501
3.600,1437.328,0.528226
3.610,1447.855,0.433063
3.620,1449.570,0.173965
3.630,1436.767,0.085465
3.640,33.558,0.222280
3.650,33.870,0.085279
3.660,33.205,0.084550
3.670,37.008,0.127930
3.680,37.297,0.127486
3.690,45.593,0.139764
3.700,37.480,0.130330
3.710,37.432,0.165046
3.720,54.709,0.281166
3.730,54.600,0.226856
3.740,54.312,0.259700
3.750,54.477,0.207206
3.760,55.136,0.090318
3.770,32.957,0.065275
3.780,74.841,0.142721
3.790,37.346,0.287722
3.800,74.829,0.218054
3.810,33.269,0.298539
3.820,36.821,0.176577
3.830,33.443,0.249534
3.840,36.895,0.147728
3.850,55.197,0.250992
3.860,55.179,0.083798
3.870,42.106,0.311978
3.880,41.920,0.135413
3.890,32.544,0.351830
3.900,32.604,0.036731
3.910,33.333,0.197222
3.920,33.193,0.400379
3.930,32.874,0.506592
3.940,32.605,0.182731
3.950,32.894,0.259347
3.960,32.937,0.287433
3.970,32.831,0.412485
3.980,32.703,0.583502
3.990,32.234,0.178191
4.000,43.509,0.110960
4.010,36.263,0.127426
4.020,36.086,0.372143
4.030,36.434,0.362820
4.040,36.890,0.137487
4.050,33.394,0.303301
4.060,73.378,0.120928
4.070,42.538,0.163928
4.080,42.199,0.423735
4.090,42.576,0.318018
4.100,42.367,0.132118
4.110,32.839,0.103875
4.120,32.778,0.147300
4.130,43.702,0.338880
4.140,32.401,0.178029
4.150,42.764,0.119306
4.160,33.689,0.061459
4.170,33.213,0.290630
4.180,32.927,0.193360
4.190,33.852,0.199675
4.200,32.802,0.180121
4.210,38.376,0.111101
4.220,46.222,0.220437
4.230,34.063,0.263723
4.240,33.922,0.269723
4.250,37.665,0.141976
4.260,295.571,0.117173
4.270,295.700,0.106389
4.280,55.936,0.122519
4.290,55.354,0.092783
4.300,298.805,0.093495
4.310,34.068,0.213973
4.320,292.833,0.179114
4.330,293.395,0.225073
4.340,293.426,0.126201
4.350,33.767,0.164347
4.360,33.874,0.103204
4.370,38.291,0.152093
4.380,37.852,0.094747
4.390,36.415,0.083605
4.400,45.945,0.113801
4.410,46.524,0.194815
4.420,34.876,0.147009
4.430,35.397,0.198462
4.440,35.922,0.289875
4.450,36.208,0.272376
4.460,36.296,0.144597
4.470,868.993,0.132622
4.480,870.060,0.183018
4.490,870.275,0.114866
4.500,870.372,0.181903
4.510,870.961,0.293336
4.520,871.994,0.282281
4.530,875.841,0.333317
4.540,290.519,0.106385
4.550,42.330,0.215002
4.560,42.606,0.219818
4.570,42.569,0.172984
4.580,875.245,0.180574
4.590,868.559,0.217381
4.600,290.390,0.119527
4.610,1478.854,0.157313
4.620,36.755,0.156377
4.630,743.671,0.231589
4.640,40.806,0.155770
4.650,290.709,0.139075
4.660,290.927,0.138327
4.670,291.044,0.151877
4.680,1477.465,0.192121
4.690,1476.741,0.230273
4.700,36.784,0.258578
4.710,36.648,0.298531
4.720,36.548,0.300252
4.730,36.308,0.217221
4.740,1474.663,0.151562
4.750,41.988,0.188531
4.760,41.907,0.176514
4.770,41.361,0.155166
4.780,36.493,0.212733
4.790,36.578,0.193205
4.800,36.916,0.512431
4.810,36.867,0.532428
4.820,36.870,0.074893
4.830,36.178,0.278289
4.840,36.102,0.395580
4.850,36.498,0.158323
4.860,36.770,0.037453
4.870,33.435,0.197716
4.880,33.124,0.158485
4.890,32.853,0.177484
4.900,32.388,0.109057
4.910,36.312,0.202911
4.920,34.365,0.442697
4.930,34.474,0.388988
4.940,36.421,0.252339
4.950,36.958,0.186147
4.960,37.067,0.173632
4.970,34.002,0.274084
4.980,33.812,0.317948
4.990,33.125,0.149076
5.000,33.806,0.121012
5.010,36.268,0.149130
5.020,32.446,0.396494
5.030,33.065,0.472319
5.040,32.923,0.422830
5.050,32.860,0.145468
5.060,41.070,0.109266
5.070,32.995,0.160182
5.080,32.906,0.222701
5.090,32.982,0.368558
5.100,32.959,0.200672
5.110,74.242,0.091850
5.120,1477.886,0.070168
5.130,39.145,0.208917
5.140,38.637,0.123116
5.150,1463.835,0.052858
5.160,34.207,0.085329
5.170,880.457,0.097913
5.180,38.732,0.108200
5.190,1472.080,0.058782
5.200,32.740,0.182334
5.210,32.797,0.145424
5.220,32.834,0.096336
5.230,40.980,0.095797
5.240,48.641,0.216951
5.250,293.135,0.115014
5.260,292.560,0.115637
5.270,295.139,0.199220
5.280,292.735,0.176275
5.290,294.228,0.200621
5.300,329.518,0.177516
5.310,1467.912,0.118874
5.320,292.815,0.150246
5.330,293.309,0.153913
5.340,295.657,0.252265
5.350,297.027,0.286148
5.360,295.658,0.279579
5.370,290.819,0.345437
5.380,291.446,0.398339
5.390,293.216,0.168054
5.400,292.888,0.280235
5.410,292.487,0.417146
5.420,292.091,0.354141
5.430,292.435,0.295053
5.440,289.990,0.257374
5.450,291.283,0.239572
5.460,291.369,0.234702
5.470,285.969,0.190734
5.480,55.000,0.488012
5.490,55.131,0.571992
5.500,34.216,0.112083
5.510,62.870,0.062542
5.520,34.986,0.093846
5.530,55.025,0.132747
5.540,54.756,0.812926
5.550,54.532,0.644537
5.560,36.540,0.271037
5.570,36.772,0.288013
5.580,36.376,0.350000
5.590,36.320,0.262550
5.600,35.907,0.179910
5.610,34.017,0.076565
5.620,33.990,0.242003
5.630,33.606,0.438263
5.640,33.278,0.279445
5.650,33.146,0.080497
5.660,37.773,0.337864
5.670,38.526,0.342233
5.680,39.023,0.064009
5.690,33.726,0.180171
5.700,33.050,0.155980
5.710,55.177,0.242483
5.720,55.532,0.376961
5.730,36.112,0.111144
5.740,868.705,0.170130
5.750,434.807,0.386443
5.760,434.005,0.414891
5.770,432.797,0.217763
5.780,432.387,0.312905
5.790,870.807,0.172649
5.800,870.426,0.220946
5.810,871.352,0.370342
5.820,432.758,0.236586
5.830,433.033,0.432565
5.840,434.045,0.364573
5.850,434.885,0.260296
5.860,435.714,0.238435
5.870,866.254,0.184309
5.880,434.311,0.414301
5.890,433.849,0.472074
5.900,433.426,0.285158
5.910,433.489,0.279096
5.920,873.404,0.204294
5.930,871.886,0.144064
5.940,434.678,0.327339
5.950,434.562,0.312372
5.960,433.874,0.358280
5.970,433.540,0.329671
5.980,433.781,0.327790
5.990,870.412,0.243952
6.000,432.199,0.250337
6.010,433.108,0.201394
6.020,431.675,0.151558
6.030,869.117,0.262109
6.040,870.000,0.305830
6.050,431.709,0.280289
6.060,432.195,0.276713
6.070,431.884,0.211251
6.080,429.919,0.166837
6.090,54.047,0.100229
6.100,53.728,0.128976
6.110,53.767,0.170063
6.120,53.672,0.214446
6.130,53.844,0.074690
6.140,870.980,0.104896
6.150,36.317,0.053229
6.160,37.301,0.082636
6.170,36.896,0.194734
6.180,144.336,0.061001
6.190,143.066,0.060629
6.200,42.203,0.114676
6.210,42.357,0.159329
6.220,42.786,0.127749
6.230,44.033,0.078925
6.240,42.448,0.090943
6.250,42.130,0.056062
6.260,36.272,0.123419
6.270,36.239,0.130456
6.280,34.091,0.161249
6.290,34.291,0.480996
6.300,33.836,0.122013
6.310,33.707,0.077537
6.320,33.951,0.078063
6.330,33.493,0.301111
6.340,33.768,0.193698
6.350,33.660,0.176567
6.360,33.531,0.075062
6.370,39.835,0.070489
6.380,33.622,0.097545
6.390,33.652,0.126104
6.400,33.354,0.022277
6.410,1433.851,0.055600
6.420,1433.627,0.129882
6.430,1441.878,0.061277
6.440,37.008,0.117170
6.450,36.611,0.163004
6.460,1435.795,0.050701
6.470,1411.866,0.234566
6.480,1415.843,0.471480
6.490,1430.105,0.242115
6.500,37.397,0.142662
6.510,37.773,0.098612
6.520,37.777,0.070464
6.530,38.247,0.110558
6.540,1436.901,0.156091
6.550,1440.795,0.129591
6.560,1434.253,0.187072
6.570,1414.332,0.408891
6.580,34.744,0.370247
6.590,34.166,0.607497
6.600,34.725,0.224473
6.610,1433.520,0.500728
6.620,1435.866,0.201447
6.630,37.933,0.122170
6.640,46.490,0.069535
6.650,1425.966,0.135442
6.660,1415.454,0.645298
6.670,1417.447,0.689482
6.680,1420.160,0.420730
6.690,1435.576,0.180691
6.700,37.825,0.063435
6.710,1430.088,0.100944
6.720,37.375,0.147506
6.730,1423.074,0.075804
6.740,1432.896,0.107737
6.750,1429.827,0.071624
6.760,1425.439,0.084560
6.770,34.881,0.120424
6.780,43.790,0.170945
6.790,1425.850,0.132902
6.800,1411.800,0.142100
6.810,1453.095,0.072060
6.820,33.225,0.262371
6.830,41.396,0.309689
6.840,41.626,0.609232
6.850,41.799,0.225314
6.860,54.879,0.088655
6.870,34.254,0.375890
6.880,34.371,0.090151
6.890,36.408,0.126397
6.900,36.800,0.092312
6.910,54.290,0.037914
6.920,48.244,0.082791
6.930,870.843,0.110850
6.940,868.065,0.176940
6.950,857.606,0.053418
6.960,39.866,0.088599
6.970,38.958,0.319331
6.980,38.345,0.176289
6.990,37.283,0.428792
7.000,37.028,0.275897
7.010,34.423,0.083182
7.020,32.682,0.116839
7.030,62.368,0.109427
7.040,32.573,0.222759
7.050,33.113,0.051934
7.060,54.091,0.145030
7.070,33.698,0.197580
7.080,35.976,0.141304
7.090,33.611,0.121322
7.100,61.637,0.051653
7.110,62.281,0.393400
7.120,62.138,0.614377
7.130,62.432,0.130196
7.140,62.871,0.174501
7.150,33.174,0.204481
7.160,62.072,0.106648
7.170,62.412,0.134397
7.180,33.672,0.237786
7.190,33.940,0.226681
7.200,48.275,0.125530
7.210,34.141,0.120305
7.220,34.527,0.161845
7.230,42.820,0.043240
7.240,33.719,0.131203
7.250,866.885,0.085984
7.260,61.611,0.036631
7.270,35.726,0.088848
7.280,70.168,0.047108
7.290,34.021,0.069426
7.300,33.631,0.101736
7.310,33.593,0.287649
7.320,34.160,0.313074
7.330,34.409,0.286191
7.340,34.754,0.163080
7.350,34.724,0.242753
7.360,34.962,0.185490
7.370,35.435,0.238611
7.380,36.143,0.104449
7.390,36.902,0.145908
7.400,40.804,0.101090
7.410,38.428,0.176301
7.420,39.100,0.133670
7.430,43.460,0.116475
7.440,867.848,0.101884
7.450,870.279,0.166981
7.460,35.616,0.102952
7.470,213.064,0.111737
7.480,210.915,0.155755
7.490,210.689,0.213713
7.500,871.901,0.150474
7.510,873.259,0.268718
7.520,868.879,0.330318
7.530,288.511,0.142501
7.540,214.089,0.124369
7.550,214.691,0.203420
7.560,869.768,0.154453
7.570,869.688,0.278338
7.580,870.474,0.398892
7.590,871.463,0.549376
7.600,871.081,0.492282
7.610,870.936,0.258843
7.620,872.052,0.178968
7.630,871.253,0.436819
7.640,871.210,0.343512
7.650,872.613,0.412414
7.660,869.294,0.268477
7.670,868.349,0.188250
7.680,873.001,0.296628
7.690,871.642,0.369439
7.700,33.086,0.167271
7.710,874.133,0.084844
7.720,738.455,0.062597
7.730,734.674,0.036863
7.740,731.788,0.089998
7.750,1479.624,0.091034
7.760,328.528,0.070230
7.770,330.038,0.065682
7.780,734.917,0.149678
7.790,739.064,0.122628
7.800,32.993,0.223545
7.810,32.956,0.303903
7.820,736.932,0.085989
7.830,738.482,0.257911
7.840,740.051,0.540986
7.850,740.693,0.289760
7.860,33.102,0.143820
7.870,33.213,0.133903
7.880,39.898,0.081008
7.890,40.102,0.137788
7.900,38.976,0.170778
7.910,36.667,0.115052
7.920,36.114,0.240992
7.930,36.198,0.409098
7.940,40.323,0.173911
7.950,35.103,0.235847
7.960,35.985,0.077755
7.970,34.017,0.068719
7.980,34.427,0.092128
7.990,34.377,0.084552
8.000,65.837,0.093213
8.010,36.830,0.077062
8.020,870.925,0.038870
8.030,40.456,0.015745
8.040,32.763,0.062568
8.050,32.722,0.180856
8.060,32.921,0.156312
8.070,43.977,0.078212
8.080,45.945,0.092137
8.090,42.098,0.065060
8.100,40.974,0.138554
8.110,40.418,0.214207
8.120,36.236,0.085735
8.130,34.883,0.101439
8.140,36.202,0.178877
8.150,38.463,0.505451
8.160,38.474,0.438404
8.170,37.061,0.262923
8.180,1475.384,0.088124
8.190,33.143,0.100938
8.200,326.021,0.171638
8.210,328.460,0.305259
8.220,330.601,0.331684
8.230,1480.575,0.198084
8.240,1480.719,0.132098
8.250,44.248,0.096080
8.260,327.682,0.084150
8.270,329.480,0.145738
8.280,330.196,0.211098
8.290,329.944,0.165176
8.300,1476.247,0.130118
8.310,330.823,0.108641
8.320,330.702,0.129052
8.330,1460.756,0.145787
8.340,1471.738,0.235028
8.350,42.609,0.100167
8.360,1473.985,0.129497
8.370,1470.525,0.222503
8.380,38.748,0.127279
8.390,38.484,0.118024
8.400,37.391,0.080492
